"","garlic","olive_oil","butter","egg","onion","wheat","black_pepper","vegetable_oil","tomato","cream","cayenne","vinegar","milk","ginger","parsley","lemon_juice","bell_pepper","scallion","chicken_broth","pepper","cilantro","vanilla","corn","cane_molasses","rice","bread","chicken","cumin","soy_sauce","cinnamon","thyme","fish","cheese","shallot","carrot","basil","white_wine","lemon","beef","parmesan_cheese","coriander","lime_juice","mustard","milk_fat","potato","celery","wine","cocoa","mint","honey"
"French",40,42,80,72,26,66,34,16,21,45,4,17,36,5,28,17,8,2,10,9,0,29,4,4,0,13,7,4,0,9,23,8,8,18,14,9,13,9,11,9,4,2,12,21,13,9,5,12,2,6
"Italian",111,166,65,75,63,64,75,14,82,34,15,15,26,2,45,28,31,6,38,8,1,17,13,3,10,43,9,0,1,6,17,18,51,17,10,50,32,22,11,74,2,0,5,10,9,9,9,8,9,6
"EasternEuropean_Russian",5,2,12,9,8,10,8,7,2,5,2,5,3,0,3,1,3,2,1,2,1,2,1,1,1,4,2,1,0,5,1,0,3,1,2,1,1,3,2,0,1,0,3,3,5,1,1,0,0,1
"Moroccan",6,11,4,2,5,10,5,0,4,2,3,1,0,3,3,4,3,2,2,1,1,0,0,1,0,1,3,6,0,6,1,0,0,0,3,0,1,2,0,0,5,0,0,0,0,0,1,0,3,3
"Indian",16,3,7,6,14,4,6,15,12,1,13,4,3,18,0,5,3,0,4,9,7,1,1,3,5,0,5,18,0,5,0,3,1,2,3,1,0,0,1,1,18,4,2,1,2,1,0,0,3,1
"American",190,226,323,259,187,224,173,139,101,191,90,126,130,62,98,111,70,58,72,62,48,112,82,104,27,68,52,30,16,76,74,27,32,68,53,44,46,49,43,37,10,32,61,47,50,58,31,55,32,28
"Asian",82,18,9,28,24,21,16,72,10,7,41,47,4,106,3,10,23,72,34,34,39,1,11,14,70,6,26,17,100,1,0,38,0,14,21,5,9,2,18,2,30,27,8,2,2,7,17,2,12,17
"Mediterranean",22,36,4,9,20,9,5,3,17,0,6,2,1,1,11,11,10,2,6,3,1,1,1,1,1,2,1,4,0,3,2,8,4,0,0,5,5,9,0,1,5,0,1,1,5,0,0,0,7,3
"Scandinavian",1,0,10,6,4,4,2,3,0,5,0,5,1,2,1,4,0,2,0,2,0,2,1,3,0,3,0,1,0,2,0,1,2,0,2,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0
"Central_SouthAmerican",13,9,8,7,10,5,5,6,10,6,12,4,5,0,4,2,5,4,1,1,7,2,10,2,2,1,3,6,1,3,1,0,4,0,1,0,0,1,3,0,2,3,0,1,1,0,0,3,1,0
